"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200170860";2022-06-08;2;129;162687;5;5;5;"555";Champions
"2000200196556";2022-06-09;1;103;122410;5;5;5;"555";Champions
"2000200196600";2022-05-31;10;65;120757;5;5;5;"555";Champions
"2000200189985";2022-06-09;1;217;112033;5;5;5;"555";Champions
"2000200204541";2022-06-07;3;68;102011;5;5;5;"555";Champions
"2000200150411";2022-06-03;7;29;90315;5;5;5;"555";Champions
"2000200186205";2022-06-06;4;70;87892;5;5;5;"555";Champions
"2000200205364";2022-06-05;5;73;84016;5;5;5;"555";Champions
"2000200189596";2022-06-05;5;35;83091;5;5;5;"555";Champions
"2000200195436";2022-05-25;16;60;81700;5;5;5;"555";Champions
"2000200193746";2022-06-08;2;62;79423;5;5;5;"555";Champions
"2000200186939";2022-05-25;16;66;75971;5;5;5;"555";Champions
"2000200196112";2022-06-04;6;53;69774;5;5;5;"555";Champions
"2000200189077";2022-06-06;4;57;69273;5;5;5;"555";Champions
"2000200197836";2022-06-08;2;59;69044;5;5;5;"555";Champions
"2000200204442";2022-06-04;6;61;63845;5;5;5;"555";Champions
"2000200224594";2022-06-09;1;39;59378;5;5;5;"555";Champions
"2000200194248";2022-06-09;1;46;55452;5;5;5;"555";Champions
"2000200196020";2022-05-22;19;36;55072;5;5;5;"555";Champions
"2000200208242";2022-06-06;4;31;49567;5;5;5;"555";Champions
"2000200198765";2022-06-07;3;52;48182;5;5;5;"555";Champions
"2000200220756";2022-06-09;1;34;47050;5;5;5;"555";Champions
"2000200227281";2022-06-02;8;34;43098;5;5;5;"555";Champions
"2000200227274";2022-06-06;4;33;42359;5;5;5;"555";Champions
"2000200208266";2022-06-06;4;36;41843;5;5;5;"555";Champions
"2000200220619";2022-05-20;21;32;41818;5;5;5;"555";Champions
"2000200214953";2022-06-02;8;22;41020;5;5;5;"555";Champions
"2000200187264";2022-06-09;1;29;40515;5;5;5;"555";Champions
"2000200174288";2022-06-07;3;31;40146;5;5;5;"555";Champions
"2000200221951";2022-06-08;2;34;38263;5;5;5;"555";Champions
"2000200223634";2022-06-08;2;31;38045;5;5;5;"555";Champions
"2000200208259";2022-06-06;4;29;36473;5;5;5;"555";Champions
"2000200228868";2022-05-29;12;28;34928;5;5;5;"555";Champions
"2000200188865";2022-06-05;5;30;34500;5;5;5;"555";Champions
"2000200211266";2022-06-08;2;25;31918;5;5;5;"555";Champions
"2000200217350";2022-06-03;7;19;31365;5;5;5;"555";Champions
"2000200199106";2022-05-29;12;18;31190;5;5;5;"555";Champions
"2000200224556";2022-06-07;3;27;30330;5;5;5;"555";Champions
"2000200194026";2022-06-02;8;24;29130;5;5;5;"555";Champions
"2000200175728";2022-06-06;4;10;28742;5;5;5;"555";Champions
"2000200170600";2022-06-05;5;30;28374;5;5;5;"555";Champions
"2000200207986";2022-06-01;9;23;28276;5;5;5;"555";Champions
"2000200171355";2022-06-01;9;16;28199;5;5;5;"555";Champions
"2000200182634";2022-05-31;10;25;27708;5;5;5;"555";Champions
"2000200195214";2022-05-27;14;21;26917;5;5;5;"555";Champions
"2000200210283";2022-06-07;3;17;25726;5;5;5;"555";Champions
"2000200155522";2022-05-29;12;25;24592;5;5;5;"555";Champions
"2000200200659";2022-06-04;6;27;24402;5;5;5;"555";Champions
"2000200201496";2022-06-01;9;14;24249;5;5;5;"555";Champions
"2000200188315";2022-06-02;8;21;23867;5;5;5;"555";Champions
"2000200163060";2022-05-26;15;19;23460;5;5;5;"555";Champions
"2000200202592";2022-06-07;3;48;23371;5;5;5;"555";Champions
